lemma	source
abacial|ADJ	abadía|NOUN|Fem
abalanzar|VERB	balanza|NOUN|Masc
abandonado|ADJ	abandonar|VERB
abandono|NOUN|Masc	abandonar|VERB
abanicar|VERB	abanico|NOUN|Masc
abaratado|ADJ	abaratar|VERB
abaratamiento|NOUN|Masc	abaratar|VERB
abaratar|VERB	barato|ADJ
abarcador|ADJ	abarcar|VERB
abarcado|ADJ	abarcar|VERB
abarrotado|ADJ	abarrotar|VERB
abastado|ADJ	abastar|VERB
abastar|VERB	abasto|NOUN|Masc
abastecedor|ADJ	abastecer|VERB
abastecido|ADJ	abastecer|VERB
abastecimiento|NOUN|Masc	abastecer|VERB
abatible|ADJ	abatir|VERB
abatido|ADJ	abatir|VERB
abatimiento|NOUN|Masc	abatir|VERB
abdicación|NOUN|Fem	abdicar|VERB
abdicado|ADJ	abdicar|VERB
abdominal|ADJ	abdomen|NOUN|Masc
abducción|NOUN|Fem	abducir|VERB
abductora|NOUN|Fem	abductor|NOUN|Masc
abductor|NOUN|Masc	abducir|VERB
aberración|NOUN|Fem	aberrante|ADJ
abertura|NOUN|Fem	abrir|VERB
abierto|ADJ	abrir|VERB
abigarramiento|NOUN|Masc	abigarrar|VERB
abismal|ADJ	abismo|NOUN|Masc
ablandador|ADJ	ablandar|VERB
ablandado|ADJ	ablandar|VERB
ablandamiento|NOUN|Masc	ablandar|VERB
ablandar|VERB	blando|ADJ
ablandecer|VERB	blando|ADJ
abocamiento|NOUN|Masc	abocar|VERB
abocar|VERB	boca|NOUN|Fem
abochornado|ADJ	abochornar|VERB
abochornar|VERB	bochorno|NOUN|Masc
abogacía|NOUN|Fem	abogado|NOUN|Masc
abogada|NOUN|Fem	abogado|NOUN|Masc
abogado|NOUN|Masc	abogar|VERB
abolicionista|NOUN|Masc	abolición|NOUN|Fem
abolición|NOUN|Fem	abolir|VERB
abolido|ADJ	abolir|VERB
abolladura|NOUN|Fem	abollar|VERB
abombamiento|NOUN|Masc	abombar|VERB
abombar|VERB	bomba|NOUN|Fem
abominable|ADJ	abominar|VERB
abominación|NOUN|Fem	abominar|VERB
abominado|ADJ	abominar|VERB
abonador|ADJ	abonar|VERB
abonado|ADJ	abonar|VERB
abonado|NOUN|Masc	abono|NOUN|Masc
abono|NOUN|Masc	abonar|VERB
abordable|ADJ	abordar|VERB
abordador|ADJ	abordar|VERB
abordado|ADJ	abordar|VERB
abordaje|NOUN|Masc	abordar|VERB
abordo|NOUN|Masc	abordar|VERB
aborrecedor|ADJ	aborrecer|VERB
aborrecible|ADJ	aborrecer|VERB
aborrecido|ADJ	aborrecer|VERB
aborrecimiento|NOUN|Masc	aborrecer|VERB
abortamiento|NOUN|Masc	abortar|VERB
abortista|NOUN|Masc	aborto|NOUN|Masc
abortivo|ADJ	aborto|NOUN|Masc
aborto|NOUN|Masc	abortar|VERB
abotonadura|NOUN|Fem	abotonar|VERB
abotonar|VERB	botón|NOUN|Masc
abrasador|ADJ	abrasar|VERB
abrasamiento|NOUN|Masc	abrasar|VERB
abrasar|VERB	brasa|NOUN|Fem
abrazador|ADJ	abrazar|VERB
abrazado|ADJ	abrazar|VERB
abrazar|VERB	brazo|NOUN|Masc
abrazo|NOUN|Masc	abrazar|VERB
abrebotellas|NOUN|Masc	botella|VERB
abrelatas|NOUN|Masc	lata|VERB
abrevadero|NOUN|Masc	abrevar|VERB
abreviado|ADJ	abreviar|VERB
abreviar|VERB	breve|ADJ
abreviatura|NOUN|Fem	abreviar|VERB
abridor|ADJ	abridor|NOUN|Masc
abridor|NOUN|Masc	abrir|VERB
abrigada|NOUN|Fem	abrigar|VERB
abrigado|ADJ	abrigar|VERB
abrigo|NOUN|Masc	abrigar|VERB
abrillantador|NOUN|Masc	abrillantar|VERB
abrillantado|ADJ	abrillantar|VERB
abrillantar|VERB	brillante|ADJ
abrochador|ADJ	abrochar|VERB
abrochado|ADJ	abrochar|VERB
abrochar|VERB	broche|NOUN|Masc
abrumador|ADJ	abrumar|VERB
abrumado|ADJ	abrumar|VERB
abrumar|VERB	bruma|NOUN|Fem
absentismo|NOUN|Masc	ausente|ADJ
absidal|ADJ	ábside|NOUN|Fem
absolución|NOUN|Fem	absolver|VERB
absolutismo|NOUN|Masc	absoluto|ADJ
absolutorio|ADJ	absolver|NOUN|Fem
absolvedor|ADJ	absolver|VERB
absorbente|ADJ	absorber|VERB
absorbible|ADJ	absorber|VERB
absorbido|ADJ	absorber|VERB
absorción|NOUN|Fem	absorber|VERB
abstencionista|NOUN|Masc	abstención|NOUN|Fem
abstención|NOUN|Fem	abstener|VERB
abstenido|ADJ	abstener|VERB
abstinencia|NOUN|Fem	abstener|VERB
abstracción|NOUN|Fem	abstraer|VERB
abstracto|ADJ	abstraer|VERB
abstraído|ADJ	abstraer|VERB
absuelto|ADJ	absolver|VERB
absurdidad|NOUN|Fem	absurdo|ADJ
abucheado|ADJ	abuchear|VERB
abucheo|NOUN|Masc	abuchear|VERB
abuela|NOUN|Fem	abuelo|NOUN|Masc
abultado|ADJ	abultar|VERB
abultamiento|NOUN|Masc	abultar|VERB
abultar|VERB	bulto|NOUN|Masc
abundado|ADJ	abundar|VERB
abundamiento|NOUN|Masc	abundar|VERB
abundancia|NOUN|Fem	abundar|VERB
abundante|ADJ	abundar|VERB
aburguesamiento|NOUN|Masc	aburguesar|VERB
aburguesar|VERB	burgués|ADJ
aburrido|ADJ	aburrir|VERB
aburrimiento|NOUN|Masc	aburrir|VERB
abusado|ADJ	abusar|VERB
abusivo|ADJ	abusar|VERB
abuso|NOUN|Masc	abusar|VERB
abusón|ADJ	abusar|VERB
acabable|ADJ	acabar|VERB
acabador|ADJ	acabar|VERB
acabado|ADJ	acabar|VERB
acabado|NOUN|Masc	acabado|ADJ
acabamiento|NOUN|Masc	acabar|VERB
académico|ADJ	academia|NOUN|Fem
acaecido|ADJ	acaecer|VERB
acaecimiento|NOUN|Masc	acaecer|VERB
acallado|ADJ	acallar|VERB
acallar|VERB	callar|VERB
acalorado|ADJ	acalorar|VERB
acaloramiento|NOUN|Masc	acalorar|VERB
acalorar|VERB	calor|NOUN|Masc
acampada|NOUN|Fem	acampar|VERB
acampado|ADJ	acampar|VERB
acampar|VERB	campar|VERB
acanaladura|NOUN|Fem	acanalar|VERB
acanalar|VERB	canal|NOUN|Masc
acantilado|ADJ	acantilar|VERB
acantonamiento|NOUN|Masc	acantonar|VERB
acaparamiento|NOUN|Masc	acaparar|VERB
acaramelamiento|NOUN|Masc	acaramelar|VERB
acaramelar|VERB	caramelo|NOUN|Masc
acariciador|ADJ	acariciar|VERB
acariciado|ADJ	acariciar|VERB
acariciar|VERB	caricia|NOUN|Fem
acarreador|ADJ	acarrear|VERB
acarreado|ADJ	acarrear|VERB
acarrear|VERB	carro|NOUN|Masc
acarreo|NOUN|Masc	acarrear|VERB
acatado|ADJ	acatar|VERB
acatamiento|NOUN|Masc	acatar|VERB
acatarrado|ADJ	acatarrar|VERB
acatarrar|VERB	catarro|NOUN|Masc
acaudillamiento|NOUN|Masc	acaudillar|VERB
acaudillar|VERB	caudillo|NOUN|Masc
acañonear|VERB	cañón|NOUN|Masc
accedido|ADJ	acceder|VERB
accesibilidad|NOUN|Fem	accesible|ADJ
accesible|ADJ	acceso|NOUN|Masc
acceso|NOUN|Masc	acceder|VERB
accidentado|ADJ	accidentar|VERB
accidental|ADJ	accidente|NOUN|Masc
accidentar|VERB	accidente|NOUN|Masc
accionario|ADJ	acción|NOUN|Fem
accionar|VERB	acción|NOUN|Fem
accionista|NOUN|Masc	acción|NOUN|Fem
acción|NOUN|Fem	actuar|VERB
acechado|ADJ	acechar|VERB
acecho|NOUN|Masc	acechar|VERB
aceitar|VERB	aceite|NOUN|Masc
aceitoso|ADJ	aceite|NOUN|Masc
aceleración|NOUN|Fem	acelerar|VERB
acelerada|NOUN|Fem	acelerar|VERB
acelerador|ADJ	acelerar|VERB
acelerador|NOUN|Masc	acelerador|ADJ
acelerado|ADJ	acelerar|VERB
aceleramiento|NOUN|Masc	acelerar|VERB
acelerante|NOUN|Masc	acelerar|VERB
acelerón|NOUN|Masc	acelerar|VERB
acentuado|ADJ	acentuar|VERB
acentuar|VERB	acento|NOUN|Masc
aceptabilidad|NOUN|Fem	aceptable|ADJ
aceptable|ADJ	aceptar|VERB
aceptación|NOUN|Fem	aceptar|VERB
aceptador|ADJ	aceptar|VERB
aceptado|ADJ	aceptar|VERB
aceptora|NOUN|Fem	aceptor|NOUN|Masc
aceptor|ADJ	aceptar|VERB
acercado|ADJ	acercar|VERB
acercamiento|NOUN|Masc	acercar|VERB
acertado|ADJ	acertar|VERB
achacado|ADJ	achacar|VERB
achaque|NOUN|Masc	achacar|VERB
achicador|ADJ	achicar|VERB
achicado|ADJ	achicar|VERB
achicamiento|NOUN|Masc	achicar|VERB
achicar|VERB	chico|ADJ
achicharrado|ADJ	achicharrar|VERB
achicharramiento|NOUN|Masc	achicharrar|VERB
achispado|ADJ	achispar|VERB
achispar|VERB	chispa|NOUN|Fem
achís|NOUN|Masc	hachís|NOUN|Masc
acicalado|ADJ	acicalar|VERB
acicalamiento|NOUN|Masc	acicalar|VERB
acidez|NOUN|Fem	ácido|ADJ
acidificar|VERB	ácido|ADJ
acierto|NOUN|Masc	acertar|VERB
aclamación|NOUN|Fem	aclamar|VERB
aclamado|ADJ	aclamar|VERB
aclamar|VERB	clamar|VERB
aclaración|NOUN|Fem	aclarar|VERB
aclarado|ADJ	aclarar|VERB
aclarar|VERB	claro|ADJ
aclaratorio|ADJ	aclarar|VERB
aclimatación|NOUN|Fem	aclimatar|VERB
aclimatar|VERB	clima|NOUN|Masc
acobardamiento|NOUN|Masc	acobardar|VERB
acobardar|VERB	cobarde|ADJ
acogedor|ADJ	acoger|VERB
acogida|NOUN|Fem	acoger|VERB
acogido|ADJ	acoger|VERB
acogimiento|NOUN|Masc	acoger|VERB
acolchado|ADJ	acolchar|VERB
acolchar|VERB	colcha|NOUN|Fem
acometedor|ADJ	acometer|VERB
acometida|NOUN|Fem	acometer|VERB
acometido|ADJ	acometer|VERB
acometimiento|NOUN|Masc	acometer|VERB
acomodadizo|ADJ	acomodar|VERB
acomodador|ADJ	acomodar|VERB
acomodado|ADJ	acomodar|VERB
acomodamiento|NOUN|Masc	acomodar|VERB
acomodar|VERB	cómodo|ADJ
acomodo|NOUN|Masc	acomodar|VERB
acompasado|ADJ	acompasar|VERB
acompasar|VERB	compás|NOUN|Masc
acompañador|ADJ	acompañar|VERB
acompañado|ADJ	acompañar|VERB
acompañamiento|NOUN|Masc	acompañar|VERB
acompañante|NOUN|Masc	acompañar|VERB
acompañar|VERB	compañía|NOUN|Fem
acomplejado|ADJ	acomplejar|VERB
acomplejar|VERB	complejo|ADJ
acondicionador|ADJ	acondicionar|VERB
acondicionador|NOUN|Masc	acondicionar|VERB
acondicionado|ADJ	acondicionar|VERB
acondicionamiento|NOUN|Masc	acondicionar|VERB
acondicionar|VERB	condición|NOUN|Fem
aconsejable|ADJ	aconsejar|VERB
aconsejador|ADJ	aconsejar|VERB
aconsejado|ADJ	aconsejar|VERB
aconsejar|VERB	consejo|NOUN|Masc
acontecido|ADJ	acontecer|VERB
acontecimiento|NOUN|Masc	acontecer|VERB
acopio|NOUN|Masc	acopiar|VERB
acoplamiento|NOUN|Masc	acoplar|VERB
acoquinamiento|NOUN|Masc	acoquinar|VERB
acordada|NOUN|Fem	acordar|VERB
acordado|ADJ	acordar|VERB
acordonado|ADJ	acordonar|VERB
acordonamiento|NOUN|Masc	acordonar|VERB
acordonar|VERB	cordón|NOUN|Masc
acorralado|ADJ	acorralar|VERB
acorralamiento|NOUN|Masc	acorralar|VERB
acorralar|VERB	corral|NOUN|Masc
acortado|ADJ	acortar|VERB
